AAPL,2013,2014,2015,2016,2017
Total cash,29129.0,40546.0,25077.0,41601.0,67155.0
Total current assets,57653.0,73286.0,68531.0,89378.0,106869.0
Total non-current assets,118411.0,133714.0,163308.0,201101.0,214817.0
Total assets,176064.0,207000.0,231839.0,290479.0,321686.0
Receivables,10930.0,13102.0,17460.0,16849.0,15754.0
Tot. Current Liab.,38542.0,43658.0,63448.0,80610.0,79006.0
Tot. Non-Current Liab.,19312.0,39793.0,56844.0,90514.0,114431.0
Total liabilities,57854.0,83451.0,120292.0,171124.0,193437.0
Accounts payable,21175.0,22367.0,30196.0,35490.0,37294.0
Treasury stock,,,,,
Retained earnings,101289.0,104256.0,87152.0,92284.0,96364.0
Total stockholders' equity,118210.0,123549.0,111547.0,119355.0,128249.0
