AMD,2013,2014,2015,2016,2017
Total cash,1002.0,1097.0,1040.0,785.0,1264.0
Total current assets,2265.0,2884.0,2736.0,2320.0,2530.0
Total non-current assets,1735.0,1453.0,1031.0,789.0,791.0
Total assets,4000.0,4337.0,3767.0,3109.0,3321.0
Receivables,630.0,832.0,818.0,533.0,311.0
Tot. Current Liab.,1397.0,1618.0,1440.0,1403.0,1346.0
Tot. Non-Current Liab.,2065.0,2175.0,2140.0,2118.0,1559.0
Total liabilities,3462.0,3793.0,3580.0,3521.0,2905.0
Accounts payable,732.0,519.0,415.0,279.0,440.0
Treasury stock,-109.0,-112.0,-119.0,-123.0,-119.0
Retained earnings,-6160.0,-6243.0,-6646.0,-7306.0,-7803.0
Total stockholders' equity,538.0,544.0,187.0,-412.0,416.0
