AMZN,2013,2014,2015,2016,2017
Total cash,11448.0,12447.0,17416.0,19808.0,25981.0
Total current assets,21296.0,24625.0,31327.0,36474.0,45781.0
Total non-current assets,11259.0,15534.0,23178.0,28970.0,37621.0
Total assets,32555.0,40159.0,54505.0,65444.0,83402.0
Receivables,3364.0,4767.0,5612.0,6423.0,8339.0
Tot. Current Liab.,19002.0,22980.0,28089.0,33899.0,43816.0
Tot. Non-Current Liab.,5361.0,7433.0,15675.0,18161.0,20301.0
Total liabilities,24363.0,30413.0,43764.0,52060.0,64117.0
Accounts payable,13318.0,15133.0,16459.0,20397.0,25309.0
Treasury stock,-1837.0,-1837.0,-1837.0,-1837.0,-1837.0
Retained earnings,1916.0,2190.0,1949.0,2545.0,4916.0
Total stockholders' equity,8192.0,9746.0,10741.0,13384.0,19285.0
