BABA,2013,2014,2015,2016,2017
Revenue,34517.0,52504.0,76204.0,101143.0,158273.0
Cost of revenue,9719.0,13369.0,23834.0,34355.0,59483.0
Gross profit,24798.0,39135.0,52370.0,66788.0,98790.0
Research and development,,,,,
Sales,6502.0,8763.0,16313.0,20512.0,28553.0
Total operating expenses,14047.0,14215.0,29235.0,37686.0,50735.0
Operating income,10751.0,24920.0,23135.0,29102.0,48055.0
Net Inc. frm Opp.,8649.0,23403.0,24320.0,71289.0,41226.0
Net income,8532.0,23315.0,24261.0,71460.0,43675.0
EBITDA,12619.0,30651.0,39491.0,90115.0,76992.0
EPS,,,,,
