CRM,2013,2014,2015,2016,2017
Total cash,868.0,839.0,995.0,1341.0,2209.0
Total current assets,2016.0,2680.0,3550.0,4347.0,5997.0
Total non-current assets,3513.0,6473.0,7143.0,8423.0,11588.0
Total assets,5529.0,9153.0,10693.0,12771.0,17585.0
Receivables,873.0,1361.0,1906.0,2496.0,3197.0
Tot. Current Liab.,2918.0,3980.0,4390.0,5617.0,7258.0
Tot. Non-Current Liab.,294.0,2134.0,2328.0,2151.0,2826.0
Total liabilities,3211.0,6114.0,6718.0,7768.0,10085.0
Accounts payable,15.0,65.0,96.0,71.0,115.0
Treasury stock,,,,,
Retained earnings,-111.0,-343.0,-606.0,-653.0,-465.0
Total stockholders' equity,2318.0,3039.0,3975.0,5003.0,7500.0
