MSFT,2013,2014,2015,2016,2017
Total cash,77022.0,85709.0,96526.0,113240.0,132981.0
Total current assets,101466.0,114246.0,124712.0,139660.0,159851.0
Total non-current assets,40965.0,58138.0,51511.0,54034.0,81235.0
Total assets,142431.0,172384.0,176223.0,193694.0,241086.0
Receivables,17486.0,19544.0,17908.0,18277.0,19792.0
Tot. Current Liab.,37417.0,45625.0,49858.0,59357.0,64527.0
Tot. Non-Current Liab.,26070.0,36975.0,46282.0,62340.0,104165.0
Total liabilities,63487.0,82600.0,96140.0,121697.0,168692.0
Accounts payable,4828.0,7432.0,6591.0,6898.0,7390.0
Treasury stock,,,,,
Retained earnings,9895.0,17710.0,9096.0,2282.0,2648.0
Total stockholders' equity,78944.0,89784.0,80083.0,71997.0,72394.0
