NVDA,2013,2014,2015,2016,2017
Total cash,3728.0,4672.0,4623.0,5037.0,6798.0
Total current assets,4775.0,5625.0,5713.0,6053.0,8536.0
Total non-current assets,1637.0,1626.0,1488.0,1317.0,1305.0
Total assets,6412.0,7251.0,7201.0,7370.0,9841.0
Receivables,454.0,426.0,474.0,505.0,826.0
Tot. Current Liab.,976.0,945.0,896.0,2351.0,1788.0
Tot. Non-Current Liab.,608.0,1849.0,1887.0,550.0,2291.0
Total liabilities,1585.0,2794.0,2783.0,2901.0,4079.0
Accounts payable,356.0,324.0,293.0,296.0,485.0
Treasury stock,-1623.0,-2537.0,-3395.0,-4048.0,-5039.0
Retained earnings,3246.0,3505.0,3949.0,4350.0,6108.0
Total stockholders' equity,4828.0,4456.0,4418.0,4469.0,5762.0
